"","logFC","logCPM","LR","PValue","FDR"
"RIMS4",-2.48121400455513,-1.73721790185722,531.652362152828,1.2344387039807e-117,7.22442907117664e-113
"HS3ST6",-2.76121619750876,-0.815252118579218,437.171909019665,4.46634505347344e-97,1.3069418895474e-92
"RP6-29D12.3",-3.39893265008097,-3.88917177961274,414.625672881755,3.60786166356351e-92,7.0382165332797e-88
"SLC6A19",-2.13638930667337,1.641013273056,365.12009653027,2.16132061069496e-81,3.06342139269359e-77
"LRRN2",-1.63551450195427,1.9771902303221,364.738338900816,2.61723514514865e-81,3.06342139269359e-77
"FAM151A",-1.42588864619963,0.750051258180421,334.741758978577,8.91349179850185e-75,8.6942199002587e-71
"COX5BP1",-3.0892089058562,-3.41566966368803,324.316437498065,1.66229096655778e-72,1.38977023609754e-68
"PADI2",-1.46627570377375,5.11940871863995,319.66107777412,1.7168247253513e-71,1.25594312783074e-67
"PI3",1.61841135694206,9.97708224624616,317.391602087637,5.35887888091514e-71,3.48470030696308e-67
"DPP10-AS1",-1.61267970935977,1.46327567781433,316.651132886957,7.76906629910345e-71,4.5467683608873e-67
"IGHV4-34",1.40796309903545,10.2303606219087,313.598289033076,3.59232800309834e-70,1.91124912775752e-66
"EDN2",-1.67008312414039,-0.0303081928276566,311.06246678634,1.28166555128822e-69,6.25068289363264e-66
"BMP3",-1.92297170245068,0.696802460748605,307.806488082999,6.56253887224703e-69,2.95435403814912e-65
"SLC26A2",-1.96176196047897,6.19895283947281,306.815197614554,1.07900596089268e-68,4.51055320394881e-65
"DIO3",-1.58257914646169,-0.72705214029341,303.29569877779,6.30612320410525e-68,2.46039702931371e-64
"RP11-298H24.1",-2.40239202944163,-0.773844128714213,302.436859644269,9.7021674234518e-68,3.54881028931308e-64
"SLC16A1",-1.24254408158396,3.77112159251213,300.697425942007,2.32180812390234e-67,7.99302933195651e-64
"CHP2",-1.48769155149737,5.27233799471107,298.561832705185,6.77800764259689e-67,2.20375621819634e-63
"MIR34B",-2.33320804171476,-5.30157269783943,293.355406258817,9.23544651019448e-66,2.84471195559275e-62
"CLDN8",-1.83724014726186,4.53024667871884,292.55975147524,1.37663224553422e-65,4.02830127688224e-62
"MIR223",-2.23023574026965,-5.39584474876474,286.638560243176,2.68533276465301e-64,7.48363879612156e-61
"TTR",-1.33752531825284,0.767503369440097,279.093143366874,1.18363291663753e-62,3.14867876424067e-59
"AQP8",-1.89879223124466,7.15355344583062,276.087901644617,5.34725921139148e-62,1.36062173081511e-58
"CHRNA1",-1.4955999837005,-0.491110168556418,274.420695379875,1.23442965932876e-61,3.01015672427318e-58
"RP11-314N14.1",-3.37869711353396,0.553996030265708,273.687135721514,1.78374954499486e-61,4.17568633485116e-58
"HMGCS2",-1.70752475572335,6.15446985467618,273.093603933403,2.40262341982176e-61,5.40812050083265e-58
"SLC5A11",-1.71138700641872,-1.61774000465993,270.500982272695,8.82516265718994e-61,1.91290303462735e-57
"LCN2",1.56835038870751,10.5810303024064,262.362612387109,5.24242036915067e-59,1.09574074887205e-55
"HSPB3",-2.07001505765086,-2.24360887705074,256.83849565662,8.38811793076382e-58,1.69278004751732e-54
"RP11-396O20.2",-1.83762468666965,1.36682660944153,255.666262729406,1.51076673944509e-57,2.94720375530948e-54
"UGT2B10",-1.57306488369989,-2.67918047811965,252.712086800212,6.65568553063529e-57,1.25650754837064e-53
"PRKG2",-1.55459356501953,0.133942117258815,252.290314151716,8.22506732641643e-57,1.50426200065999e-53
"CTA-150C2.13",-1.89826258378513,-2.45928135588606,245.379374487423,2.64128136619255e-55,4.68419244469856e-52
"CA1",-1.59675575160407,9.4726912308195,245.254616466214,2.81199845118954e-55,4.84027639286519e-52
"CYP3A4",-1.78549323931064,0.486282997596798,244.912142036312,3.33951550853696e-55,5.58405158918905e-52
"RNU6-293P",-1.99961465145073,-5.55283199639601,240.448566531385,3.13977388426633e-54,5.10422574452229e-51
"LINC01213",-2.03015646834065,-2.61594101321629,238.746960441092,7.37780204850229e-54,1.1669688840177e-50
"ABCB1",-1.1652332883384,3.84262605097805,238.267198825364,9.38726585409468e-54,1.44573775485536e-50
"FMN2",-1.42694992012462,-0.477818684906673,237.18273493059,1.6181168842741e-53,2.42817109064762e-50
"GAGE12F",-2.18020138606493,-5.33893727022554,236.782439171768,1.97832103263759e-53,2.82388439302639e-50
"GAGE12G",-2.18020138606493,-5.33893727022554,236.782439171768,1.97832103263759e-53,2.82388439302639e-50
"KIF5C",-1.16981780883515,0.509912427506298,236.262890596449,2.56796053874159e-53,3.57826958498364e-50
"ABCG2",-1.73108499362251,3.12391299910855,233.933104606357,8.27235056300786e-53,1.12588614964994e-49
"PLA2G12B",-1.69459173963868,0.265016953560928,233.794800349364,8.86724404035125e-53,1.17942406867617e-49
"PCK1",-1.58803503723113,5.25896971550738,233.133358828698,1.23602972509052e-52,1.60749785847106e-49
"TNNC2",-1.37060379217811,0.932555201254373,232.208027588735,1.96706344530943e-52,2.50261784941933e-49
"RNU4-11P",-1.95593365945314,-5.59498222170214,230.656625891653,4.28690932101451e-52,5.33802300219263e-49
"AMACR",-1.04506774825524,4.33355836798438,228.966116867159,1.00188394490618e-51,1.22154699982686e-48
"RP11-798K3.2",-1.72798816359255,-2.61833883517108,228.575666712324,1.21890548509496e-51,1.45582091040199e-48
"RNU6-406P",-1.92565436934131,-5.60939888044603,226.766523812101,3.02364716543304e-51,3.4697240531334e-48
"PDZK1",-1.59418429975585,0.974584566005538,226.55232045994,3.36703956749629e-51,3.78947353169524e-48
"DPP10",-1.43964886235323,0.290054329963848,225.889579864417,4.6966821111411e-51,5.18620045042305e-48
"PDE6A",-1.30841984567954,-0.63062747432489,224.410811438364,9.86996163254072e-51,1.05023569924148e-47
"SLC13A2",-1.29155343575463,2.90166956207267,224.192723199027,1.10124009162432e-50,1.15087455575396e-47
"UGT1A8",-1.26406985865884,2.0578379103154,222.137674907113,3.09109386693898e-50,3.11902030118512e-47
"LCN15",-1.62474753665475,0.743709646200809,221.384389121169,4.51250016251047e-50,4.47609422899598e-47
"RUNDC3B",-1.12212877893712,0.361409347289866,218.769952294995,1.67761270442892e-49,1.60951812973767e-46
"RP11-245G13.2",-1.72634451621272,-0.898797012126312,217.936405421318,2.54985585381414e-49,2.40689941917127e-46
"RP11-1090M7.1",-1.40671074622127,-2.56796540861929,214.595665634874,1.36543851050416e-48,1.26842735537691e-45
"UGT1A10",-1.08026504693454,3.92126985407793,213.004833943015,3.03611229463254e-48,2.7336220912473e-45
"GLRA2",-1.63450183710584,0.0750636929644556,212.444465276331,4.02315813821695e-48,3.56744404365165e-45
"UGT2A3",-1.43763704043748,3.85457404520985,211.330018902185,7.04202624134547e-48,6.15115736938063e-45
"TMIGD1",-1.46944156846747,4.84988878663965,210.591441438814,1.0205420232013e-47,8.65597121243957e-45
"CDH22",-1.23075295180633,-3.02340442236077,208.217785622636,3.36280886557429e-47,2.81150037212671e-44
"RNA5SP481",-1.79734806450965,-5.68907810781176,206.470441812305,8.08994927845746e-47,6.46711464017516e-44
"PCSK1N",-1.12184162813336,3.72886511384758,206.449072825959,8.17726887042857e-47,6.46711464017516e-44
"IGKV3-15",1.24402338165913,10.7721027811446,205.790221895885,1.13857976928849e-46,8.88456565571194e-44
"TRPM6",-1.41244877082124,2.84774471358751,204.746825548182,1.9232129672261e-46,1.48097520649921e-43
"ENTPD5",-1.08561296701076,5.10208651249586,204.229217341416,2.49441652851315e-46,1.89588614174939e-43
"RP1-290I10.5",-2.08010339587665,-5.32220082008711,203.44876253459,3.69203686989662e-46,2.73509830093456e-43
"HSD3B1",-1.67484311892954,-2.28319466209461,200.914342238944,1.31918035566025e-45,9.30165194393498e-43
"CDKN2B-AS1",-1.30461339820121,4.45228227711904,199.820032434016,2.28615111960572e-45,1.57405538969183e-42
"HSD3BP2",-1.98333249537754,-4.85945275556408,199.46129421943,2.73772820367456e-45,1.86305587664942e-42
"CALN1",-1.80417039299978,-3.36534327178347,199.066345985162,3.33870792572157e-45,2.24591428327505e-42
"CNTFR",-1.42120316956123,-0.0309543115636833,198.646535380382,4.12280760771651e-45,2.74185445947729e-42
"CPA6",-1.06399802936678,0.707478240619565,198.488061224537,4.46454180463339e-45,2.93576229858836e-42
"ISX",-1.1344963687915,3.66072384580529,198.244507524314,5.04577520332413e-45,3.24504338460815e-42
"XXyac-YM21GA2.7",-1.30810538482813,-3.32101138726758,195.393089805028,2.11456083410315e-44,1.33067266940917e-41
"GUCA2A",-1.34977674825605,8.43879210087365,193.989161252482,4.28183152760524e-44,2.66585008852733e-41
"COX6CP16",-2.61719862904809,-2.98897041968612,193.558532702045,5.31639318111758e-44,3.27512204770237e-41
"ADH1C",-1.20005611805294,6.21223434852056,193.052920247023,6.85443535360013e-44,4.17863515243848e-41
"MIR205",-1.67391469667622,-5.74397299730019,191.287175367748,1.66484317010288e-43,9.74332816871008e-41
"C1QTNF1-AS1",-1.44986131689549,-1.56354676258565,190.92572967041,1.99648831409164e-43,1.15685625835544e-40
"RNU7-34P",-1.69954726712045,-5.75316572056188,189.278702810701,4.56852675767721e-43,2.62125941143432e-40
"THRB",-1.02367393683997,1.82414998730197,189.059021159245,5.10186558128523e-43,2.89885030368094e-40
"FADS6",-1.29961679026721,-1.07153836756322,188.019672049107,8.60211980242635e-43,4.84067749343461e-40
"RP11-556I14.3",-1.68819779181731,-5.7582544840841,187.651936024068,1.03485394622377e-42,5.76798022369521e-40
"RNU6-321P",-1.63806367653432,-5.7596559572426,186.704592267076,1.6660181428996e-42,9.19830620708078e-40
"RNU6-311P",-1.66966755289979,-5.76613065620232,185.587165124176,2.92156689743165e-42,1.5924818605309e-39
"FABP1",-1.04298488468739,11.1858169059737,185.575491492138,2.93876086626577e-42,1.5924818605309e-39
"TMEM63C",-1.01831804075612,0.727199832466851,184.732559110261,4.48934389034598e-42,2.3884941985328e-39
"CYP2B7P",-1.37540176709185,-0.543953986415535,184.159213898721,5.98895532942234e-42,3.07454054122029e-39
"HSD3B2",-2.14060762548066,-0.323350102168338,184.025842556252,6.40424513670485e-42,3.25914819461317e-39
"MAFA",-1.4017892691002,-2.42368317378211,183.554419847068,8.1168434435315e-42,4.09508746283826e-39
"MEP1A",-1.11433868320476,5.85939986966644,183.24254747518,9.4945576542727e-42,4.70897874710725e-39
"MIR651",-1.63645720594503,-5.78020550119118,181.903259272554,1.86154441997889e-41,9.00372112684665e-39
"SH3GL2",-1.30676780715902,-1.91830970213626,181.817897892834,1.94316743996602e-41,9.3214697751288e-39
"OTOP3",-1.61330066744066,-3.24985456380597,180.867728902545,3.133014155591e-41,1.49070341822608e-38
"RNA5SP458",-1.62971085648224,-5.78354659505031,180.13060649553,4.53840946907656e-41,2.14198286909868e-38
"XX-DJ76P10",-1.53111035032308,-5.75902129650514,178.084493481099,1.26959504001132e-40,5.94414240972979e-38
"LRFN2",-1.20370558733168,-4.26122710969873,176.619302892337,2.65217146027347e-40,1.22217072866964e-37
"PNLIPRP2",-1.5537326283413,2.15025730089581,175.058983760524,5.81200735335553e-40,2.55745803269007e-37
"MT1F",-1.10572415097,5.24618795377268,173.786501184914,1.10206891272945e-39,4.77759118878358e-37
"CLCNKB",-1.62495266337523,-2.20117908057167,173.113700988196,1.54574664997357e-39,6.60315890095277e-37
"RP11-680F8.1",-1.11170429123542,0.0866391450821064,173.068782039391,1.58105893410978e-39,6.70506471448119e-37
"OTOP2",-1.46532600873948,2.57576704446409,172.864347626019,1.75224244030974e-39,7.37757097674011e-37
"SLC39A2",-1.1093784132447,-0.56689543981721,172.456857828233,2.15073147172975e-39,8.99067204653654e-37
"FETUB",-1.64119457006188,-2.11103551060697,172.408605940688,2.20355570423847e-39,9.14616269750725e-37
"ALPI",-1.11944240853618,2.04389430178876,170.283924393848,6.41438264522811e-39,2.58893330985745e-36
"APOH",-1.06152002320631,-1.12164169436818,168.825595096164,1.33559049608855e-38,5.35370535569086e-36
"SULT2A1",-1.55518053724243,-2.19546770649051,168.114262113361,1.91004502478365e-38,7.55293750205666e-36
"VLDLR",-1.08838731751808,1.32265370076188,167.437018553942,2.68516861827491e-38,1.04070733917828e-35
"MT3",-1.12427298426852,0.768953600061591,165.80230799431,6.11012461956373e-38,2.32200605996979e-35
"KCNK15",-1.27772833675094,-3.05443952163556,164.916058086377,9.5421652815485e-38,3.60287536088609e-35
"IGHGP",1.54323716492856,7.58986575929341,164.506955199651,1.17223714795647e-37,4.36968196477736e-35
"RP11-209E8.1",-1.6934548618937,-0.643091769190995,164.244774342043,1.33748706352989e-37,4.95411980417868e-35
"SLC38A4",-1.74804038580726,-0.946710900271082,164.041134105149,1.48175266763759e-37,5.45396812080645e-35
"IGHV1-69-2",1.33603997088268,10.2984305828702,163.660340589522,1.79457930554788e-37,6.44331038514627e-35
"GUCA2B",-1.24683970571995,5.67944405345617,162.489692707162,3.23374576391652e-37,1.13324393465539e-34
"RP11-543E8.2",-2.17242882428428,-2.28999636627046,162.003049224798,4.13069077355589e-37,1.43044110551234e-34
"RP11-166J22.1",-2.00919535557724,-4.81015389271273,161.274201143866,5.96015319333972e-37,2.0518353263942e-34
"ST6GAL2",-1.31297137681126,0.262556829336396,161.228592106663,6.09848526450367e-37,2.08717983403399e-34
"NEUROD1",-1.02124978663365,0.748796534786446,161.136132953996,6.38884410929607e-37,2.17384135263048e-34
"HAVCR1",-1.64499838218297,1.39142877339751,160.652748367786,8.14765142605888e-37,2.70209014995591e-34
"AC090607.1",-1.50506358632562,-5.85532490309375,159.97881357755,1.14360834697765e-36,3.76003005047865e-34
"SST",-1.11865552267251,6.34219332539675,158.373506693598,2.56465266537606e-36,8.20184331084528e-34
"ART1",-2.0572368532543,-3.77815623964751,157.305804774025,4.38861946717651e-36,1.38832197674075e-33
"MIR4443",-1.48307816482175,-5.86419375525247,157.23946692559,4.53757137721049e-36,1.42772487784875e-33
"MIR6788",-1.47902866597601,-5.86581099054258,156.86761826159,5.47113162436134e-36,1.71225939670654e-33
"DEFB1",-1.07983138967429,3.32769179680492,154.849191102099,1.5106026813747e-35,4.58064825516957e-33
"MT1M",-1.17153601553996,4.41331099254845,154.224290104545,2.06877303260889e-35,6.24086974022695e-33
"DACT2",-1.00394678025851,-0.724984580985815,153.431338776986,3.08322550735888e-35,9.11326715114501e-33
"IGKV3-11",1.17415227329266,11.3318521117666,152.829795264758,4.17321761550618e-35,1.2150914812432e-32
"ARHGAP36",-1.34340924812814,-4.05832643815845,151.889284623894,6.69921205548757e-35,1.92188571733017e-32
"RP11-941H19.2",-1.37264648168553,-2.65968746444801,148.654776596907,3.41194572097854e-34,9.41890147993151e-32
"CYCSP42",-1.55784962943541,-5.70011955671038,147.426980492851,6.32983007378205e-34,1.69929805155055e-31
"UGT1A1",-1.28084369623484,0.492567981351387,147.310008749182,6.71370472998634e-34,1.76499946799501e-31
"RNA5SP57",-1.79889136078192,-5.40433709258116,147.306563202773,6.72535850869536e-34,1.76499946799501e-31
"RNU4-58P",-1.39133742282448,-5.90038406981903,146.113825767371,1.22590605649494e-33,3.11934461088303e-31
"RP3-406A7.1",-2.87516323465103,-2.88240932793879,144.826429478575,2.34373189522525e-33,5.88689122043617e-31
"ATP12A",-1.84291148519001,-1.36212972215758,144.555501379279,2.68621261236166e-33,6.6896981670576e-31
"RP11-881L2.1",-1.03384961738645,1.34565546788734,144.10166281833,3.37569998130746e-33,8.26608643121496e-31
"RTEL1",1.0228765115766,3.63533124090165,143.267843763327,5.13651455274859e-33,1.23707562833357e-30
"SLC17A8",-1.17938289132127,-2.07151417182895,142.625716353433,7.09687192542851e-33,1.64816401811023e-30
"RNU6-719P",-1.71669606031793,-5.46874739783039,140.830040685276,1.75269653771527e-32,3.885409552017e-30
"MIR1252",-1.34234989544746,-5.91944023158924,140.773392440111,1.80340763463786e-32,3.98274069469985e-30
"SLC3A1",-1.19581210146521,1.89698339862063,140.109505640484,2.51922788825122e-32,5.52192108359605e-30
"GLYATL3",-1.43742400957901,-2.2829888741241,139.718079621165,3.0680585480666e-32,6.67490923669329e-30
"CTD-2385L22.2",-1.12011889018813,-2.13547945467686,138.495146553953,5.67940319406613e-32,1.21751425834991e-29
"RP11-526F3.1",-1.67298529296465,-4.18348396551801,138.014343425389,7.23523081614118e-32,1.52314621684837e-29
"ACER2",-1.09746279758701,0.72295538664256,137.918787159765,7.5918997010044e-32,1.59250300394832e-29
"RP11-95I16.6",-1.21701137932255,-0.473298892209735,137.484479430393,9.44788200309661e-32,1.95380864434355e-29
"NAT8B",-1.02553230115106,-0.949883694953857,137.225588860926,1.07635458519982e-31,2.21804844169838e-29
"RP11-486M3.3",-2.10336091978916,-4.47145465805618,137.044689193607,1.17901584673439e-31,2.39585845188483e-29
"SLC16A9",-1.14694097450951,2.61018685296376,137.022565137593,1.19222543949461e-31,2.40599315934423e-29
"MT1DP",-1.73679905423845,0.888346176773847,136.996311034107,1.20809312979826e-31,2.42963719341284e-29
"REG1A",1.71567797667328,8.50852625242671,136.011538671543,1.9837430624888e-31,3.92218172260454e-29
"AC105402.3",-1.87694398659525,-2.52884727967314,134.708308438459,3.82418723481113e-31,7.38636084917777e-29
"RN7SKP127",-1.35705383472163,0.926877633726256,132.598617614591,1.10670254243013e-30,2.04317538148836e-28
"AC024060.1",-2.0342225171481,-4.97485629785432,132.344027037252,1.25813081455261e-30,2.30096399346491e-28
"RP11-731F5.2",1.45932306303783,7.41122153401462,131.953880329068,1.53135829644331e-30,2.78326748264126e-28
"CYP1A1",-1.91450484293718,-3.26286776514955,131.87001876461,1.59743484753794e-30,2.89437390146472e-28
"RP11-305L7.6",-1.32873909173721,-1.11866180832699,131.518207186713,1.90717115153304e-30,3.44491618741727e-28
"RP3-407E4.3",-1.35363363647041,-2.60877602366441,131.364961648057,2.06023124716714e-30,3.65372646997605e-28
"NTRK2",-1.25228629088442,1.62849522606132,131.322073037755,2.10522723187444e-30,3.72224527245378e-28
"CA2",-1.0045797204813,8.5059290430847,130.929607223376,2.56544214639798e-30,4.5222872342107e-28
"RP11-503C24.6",-1.03917952930935,-3.21076666261829,130.338856930493,3.45469340544138e-30,6.05336757066021e-28
"GBA3",-1.12487743091094,0.384949599973621,130.012450542279,4.07215385649016e-30,7.07885302913628e-28
"SLC30A10",-1.2354915809015,2.30197703725176,129.013511129526,6.73582927892951e-30,1.15603423085065e-27
"MICG",-2.70858863287748,-3.80818933128413,127.612100722767,1.36470737483814e-29,2.28848522650508e-27
"SLC4A4",-1.01050024872784,4.21345895992483,127.349764573066,1.55756154017602e-29,2.5896230561722e-27
"OR2S1P",-1.13813554364886,-1.98579714775278,126.398650083043,2.51524475923544e-29,4.08894956359707e-27
"GSTA1",-1.04526649143019,2.39856241928984,126.322130255899,2.61412178373843e-29,4.23791865018028e-27
"DAO",-1.13476614230224,-0.176159001136995,125.793275818696,3.4124177567901e-29,5.47146128214751e-27
"RP11-282M16.1",-1.25184292264828,-5.97284618160586,124.590209784936,6.25690179815685e-29,9.84351937729386e-27
"CYCSP48",-1.65773742005656,-5.38950316936263,123.23695715774,1.23751100607624e-28,1.87142362066165e-26
"PRAP1",-1.16354093189082,4.83300574834508,123.071010518533,1.34546360763605e-28,2.02421368054736e-26
"TBX4",-1.48150880318748,-3.40587451349906,122.33572291986,1.94902976646719e-28,2.90241776215587e-26
"KLRG2",-1.10186872211233,-3.2303765310622,120.733410586629,4.37092949043734e-28,6.3632904850337e-26
"EMX1",-1.21793902929086,-3.02256294073594,120.286515577704,5.47530403462757e-28,7.89252939218089e-26
"IGHV4-39",1.20670145311626,10.5627873991646,119.783615734789,7.05515814742528e-28,9.94930302216668e-26
"SLC45A2",-1.20473575540495,-2.9138606388645,119.427354168824,8.44314764211144e-28,1.1736977971661e-25
"MIR6716",-1.20695398452034,-5.98903317561421,119.267373324633,9.1522984871937e-28,1.26926330963157e-25
"MIR4460",-1.19806701535369,-5.99213184729721,118.152481373287,1.60558127394105e-27,2.19544482420855e-25
"AC100767.1",-2.42774456097239,-4.03915446141557,117.768281470204,1.94874935814278e-27,2.65847569780765e-25
"KRT76",-1.50556392017726,-5.37370021458286,116.865223438835,3.07253412081134e-27,4.06825762186342e-25
"RP11-30P6.6",-1.08076057267564,1.57362857577835,116.803426817835,3.16977654853634e-27,4.1875395649332e-25
"FAM163B",-1.55553376466727,-0.0614398653367554,116.672377536092,3.38629974742764e-27,4.45347879592034e-25
"ASIC5",-1.26965820534223,-4.23021823088941,116.357688925498,3.96858769908221e-27,5.16128058891305e-25
"HINT1P2",-2.15847642896144,-3.34896500272445,116.089284653614,4.54372903908077e-27,5.87013682744289e-25
"RP11-319C21.1",-1.67603674876545,-3.66533658660251,114.401629628876,1.06416527568303e-26,1.31390735430535e-24
"HIST1H2APS1",-1.3175781796453,-5.78571255424809,114.065360714913,1.26083261895014e-26,1.55018840738315e-24
"AC105402.4",-1.44637586002497,-4.09883296157513,114.052319128069,1.26915244826166e-26,1.55714628683575e-24
"SLC37A2",-1.14556042064813,3.79174288254268,113.727566542067,1.49500168527458e-26,1.81899123968834e-24
"RP11-1267H10.4",-1.17627295605335,-1.7195509799998,113.716673576916,1.50323717911388e-26,1.825216860383e-24
"NCF2",1.00654007516822,3.76701691192821,112.793191160004,2.39496862200745e-26,2.84306579380048e-24
"VLDLR-AS1",-1.25798478864511,-1.35893391267319,112.469103089967,2.82025807718485e-26,3.32767709091061e-24
"RNU1-6P",-2.00551481920788,-4.8095307317946,112.4617788135,2.83069578875737e-26,3.33327244147357e-24
"AC009110.1",-1.5745785326714,-4.58168116270244,111.411339736121,4.80834963306836e-26,5.56134098667376e-24
"CFI",1.09273651058951,3.14012342853296,111.361625047529,4.9304515826864e-26,5.69131653698499e-24
"CPA2",-1.14721330841504,-2.48620029773644,111.231385382481,5.26523325045845e-26,6.03018612034893e-24
"RNU7-136P",-1.13944848813794,-6.01254812462374,111.19462935663,5.36376344417311e-26,6.11908171163328e-24
"RP11-515C16.1",-1.68628650719704,-5.28487721467538,111.135905628965,5.52502241444943e-26,6.26640332913253e-24
"AC093515.1",-1.57006366848113,-5.48449272724371,110.958389209308,6.04257962653046e-26,6.84015338613286e-24
"MIR1283-1",-1.12321341801689,-6.01962335615508,110.404369951087,7.99087370844646e-26,8.90776938882135e-24
"RP4-811M8.1",-1.28170803772827,-1.41104097069588,108.84068687089,1.75868124416722e-25,1.8587039127313e-23
"CHST2",1.02029443957711,2.50815572122621,108.70216787166,1.88598319704859e-25,1.98874379502832e-23
"UGT1A4",-1.48753165656818,-4.50032081927889,107.561542700111,3.35329288828547e-25,3.40708529503505e-23
"WI2-2373I1.2",-1.55520678761902,-4.09581491941728,106.917116501538,4.64182194932657e-25,4.6200338054828e-23
"IGKV1D-39",1.24454543998053,11.8610455221503,106.305738090099,6.31932283892055e-25,6.22612878493242e-23
"KRT9",-1.21707437583797,-3.82183222804279,104.199597625112,1.82927736851717e-24,1.73511553833223e-22
"RP1-35C21.1",-1.28653134988708,-1.52815407599583,103.957950777077,2.06655715228814e-24,1.95384799322312e-22
"SDHDP1",-1.58689352226307,-3.85629274135013,103.894472895285,2.1338390705633e-24,2.0077298676149e-22
"RP11-249C24.11",-1.7026098414958,-2.87503659958556,103.786387561613,2.25348131515161e-24,2.10675304293822e-22
"RP11-13K12.5",-1.08499515511764,-0.55739271538972,103.223048137802,2.99461927244311e-24,2.76867453871186e-22
"SLC7A5",1.17002059801859,3.13203724544666,102.970299872151,3.40210486071462e-24,3.12566381269172e-22
"SDHAP2",-1.58692919348851,-5.16347183739174,102.873402729759,3.57264024672224e-24,3.27190207878701e-22
"MIR3142HG",1.0897955192712,1.9572997208525,102.870405800202,3.5780488866511e-24,3.27190207878701e-22
"HK3",1.15940765446985,2.47550050482222,102.534125858397,4.24000457271433e-24,3.82345188926862e-22
"PKLR",-1.16690144217704,-3.28256465922674,101.759215596353,6.26978301556719e-24,5.60202719393976e-22
"AC108039.1",-1.59758139849291,-4.33400028438221,101.521906768753,7.06774614438282e-24,6.29578044678631e-22
"FGR",1.14126408521118,3.38341339924434,101.491217782001,7.178098082453e-24,6.37490754739604e-22
"RP11-567C2.1",-1.04498386060924,-0.822147295657561,100.984281072947,9.27163118773129e-24,8.09870065120577e-22
"IGLJ2",1.13732320490614,8.57260139482218,100.952336676561,9.42237074117206e-24,8.2058753758386e-22
"RP11-479G22.7",-1.04514388747203,-6.04519670606298,100.80150392986,1.01679088803126e-23,8.81580295276172e-22
"KRT14",-1.22028011648747,-3.56780448834253,100.001188157012,1.52305663992674e-23,1.28808333518891e-21
"STOM",1.00186538918709,6.26261499974549,99.945310279517,1.56663864817259e-23,1.32112334647915e-21
"AC092652.1",-1.08248533664937,-1.39257616283998,99.8284511236785,1.66185708901319e-23,1.39739259019265e-21
"RP11-13K12.1",-1.08902563924909,-0.0242465362458045,99.3398442121917,2.12685728753294e-23,1.77563760193406e-21
