"source","target"
"5S","AC104650.2"
"5S","AC246787.3"
"5S","AC246787.5"
"5S","AL442127.1"
"5S","RNU6-638P"
"5S","TRBJ1-2"
"5S","TRBJ2-6"
"A1BG","FAM195B"
"A1CF","ABCD3"
"A1CF","EHHADH"
"A1CF","WASL"
"A2M","EFEMP2"
"A2M","LGALS1"
"A2M","NFATC4"
"A2M","PLVAP"
"AAMDC","BLOC1S1"
"AAMDC","TRAPPC6A"
"AASS","AC005253.2"
"AASS","AC009948.5"
"AASS","AC159540.1"
"AASS","ACIN1"
"AASS","ADCY7"
"AASS","AGAP5"
"AASS","ANKRD10-IT1"
"AASS","AP4B1-AS1"
"AASS","ASXL1"
"AASS","ATM"
"AASS","ATP8B2"
"AASS","BMS1P4"
"AASS","BTAF1"
"AASS","C20orf194"
"AASS","CAPRIN2"
"AASS","CEP164"
"AASS","CFAP54"
"AASS","CH17-264L24.1"
"AASS","CLCN6"
"AASS","CMTR1"
"AASS","COL4A4"
"AASS","CTB-89H12.4"
"AASS","CTBP1-AS"
"AASS","DCAF8"
"AASS","DCHS1"
"AASS","DDX17"
"AASS","DENND3"
"AASS","DMTF1"
"AASS","ERN1"
"AASS","EZH1"
"AASS","FAM111A"
"AASS","FNBP4"
"AASS","GABBR1"
"AASS","GOLGA8R"
"AASS","HERC2P2"
"AASS","HNRNPH1"
"AASS","HNRNPU-AS1"
"AASS","IKZF4"
"AASS","INPP4A"
"AASS","KCTD7"
"AASS","KLF7"
"AASS","LA16c-358B7.3"
"AASS","LINC01001"
"AASS","LINC01002"
"AASS","MACF1"
"AASS","MAN2A2"
"AASS","MAP3K3"
"AASS","MAPK8IP3"
"AASS","MDM4"
"AASS","MGEA5"
"AASS","NAIP"
"AASS","NBPF15"
"AASS","NBPF8"
"AASS","NFATC2IP"
"AASS","NISCH"
"AASS","NKTR"
"AASS","NPIPB4"
"AASS","OGT"
"AASS","PAPD7"
"AASS","PBX2"
"AASS","PHC1"
"AASS","PIAS3"
"AASS","PLEKHH2"
"AASS","RAB11FIP1P1"
"AASS","RBM26"
"AASS","RBM5"
"AASS","RP11-206L10.2"
"AASS","RP11-274B21.2"
"AASS","RP11-449J21.3"
"AASS","RP11-488L18.4"
"AASS","RP11-72I8.1"
"AASS","RP11-894P9.1"
"AASS","RP3-368A4.5"
"AASS","RP4-669L17.10"
"AASS","RP4-742C19.13"
"AASS","RUFY3"
"AASS","SFMBT2"
"AASS","SIN3B"
"AASS","SLC23A2"
"AASS","SLX4"
"AASS","SNED1"
"AASS","SRSF11"
"AASS","STAT2"
"AASS","STAT5B"
"AASS","STX16"
"AASS","TBRG1"
"AASS","TIA1"
"AASS","TRERF1"
"AASS","TRIM52"
"AASS","UHRF2"
"AASS","VPS13B"
"AASS","VPS13C"
"AASS","WSB1"
"AASS","XAF1"
"AASS","ZBTB25"
"AASS","ZBTB40"
"AASS","ZDHHC17"
"AASS","ZMAT1"
"AASS","ZMIZ2"
"AASS","ZNF10"
"AASS","ZNF117"
"AASS","ZNF316"
"AASS","ZNF333"
"AASS","ZNF354B"
"AASS","ZNF37BP"
"AASS","ZNF449"
"AASS","ZNF532"
"AASS","ZNF841"
"AATF","AP003068.9"
"AATF","C12orf10"
"AATF","C19orf24"
"AATF","EIF3G"
"AATF","GADD45GIP1"
"AATF","GPS1"
"AATF","PES1"
"AATF","PSMB3"
"AATF","RP5-940J5.9"
"AATF","RPLP2"
"AATF","RPS28"
"AATF","TSSC4"
"AATF","WDR18"
"AATF","WRAP53"
"AATF","C6orf47-AS1"
"ABAT","SLC22A23"
"ABCA12","AC004470.1"
"ABCA12","AC004691.1"
"ABCA12","AC004943.1"
"ABCA12","AC005513.1"
"ABCA12","AC005943.6"
"ABCA12","AC006925.1"
"ABCA12","AC009009.1"
"ABCA12","AC010884.2"
"ABCA12","AC011073.1"
"ABCA12","AC015883.1"
"ABCA12","AC015923.2"
"ABCA12","AC018688.1"
"ABCA12","AC019198.1"
"ABCA12","AC021192.1"
"ABCA12","AC021613.1"
"ABCA12","AC022395.1"
"ABCA12","AC025594.1"
"ABCA12","AC025674.1"
"ABCA12","AC073127.1"
"ABCA12","AC073215.1"
"ABCA12","AC074191.1"
"ABCA12","AC076972.1"
"ABCA12","AC092925.1"
"ABCA12","AC093788.1"
