"source","target"
"5S","AC012363.1"
"5S","AC021613.1"
"5S","AC078993.1"
"5S","AC104650.2"
"5S","AC104986.1"
"5S","AC244157.1"
"5S","AC246787.3"
"5S","AC246787.5"
"5S","AL442127.1"
"5S","AL928742.1"
"5S","IGHD3-3"
"5S","IGHJ1"
"5S","IGHJ2"
"5S","IGHJ3"
"5S","IGHJ4"
"5S","IGHJ5"
"5S","IGKJ5"
"5S","MIR221"
"5S","MIR3646"
"5S","MIR4537"
"5S","MIR4538"
"5S","MIR4539"
"5S","MIR7848"
"5S","RNA5-8SP6"
"5S","RNA5SP132"
"5S","RNU4-1"
"5S","RNU6-1069P"
"5S","RNU6-1161P"
"5S","RNU6-216P"
"5S","RNU6-638P"
"5S","RNVU1-7"
"5S","SNORA22"
"5S","SNORA38"
"5S","SNORA45B"
"5S","SNORD10"
"5S","SNORD15B"
"5S","SNORD22"
"5S","SNORD67"
"5S","TRBJ1-1"
"5S","TRBJ1-2"
"5S","TRBJ1-5"
"5S","TRBJ2-6"
"A1CF","AHCYL2"
"A1CF","MPP5"
"A1CF","WASL"
"AARS","COL4A2"
"AARS","LIPG"
"AARS","NOP2"
"AARS","WARS"
"AASS","ABCC1"
"AASS","AC005253.2"
"AASS","AC005519.4"
"AASS","AC093818.1"
"AASS","AC116366.6"
"AASS","AC159540.1"
"AASS","ACAD11"
"AASS","ACIN1"
"AASS","ADCY7"
"AASS","ADGRF5"
"AASS","AGAP5"
"AASS","ALDH1L2"
"AASS","ANKRD10-IT1"
"AASS","ANKRD10"
"AASS","AP4B1-AS1"
"AASS","ARGLU1"
"AASS","ARHGEF6"
"AASS","ASAP1"
"AASS","ATM"
"AASS","ATP8B2"
"AASS","BMS1P1"
"AASS","BTAF1"
"AASS","C1S"
"AASS","C20orf194"
"AASS","CAPRIN2"
"AASS","CARD6"
"AASS","CARD8"
"AASS","CASC15"
"AASS","CCNL2"
"AASS","CCSAP"
"AASS","CDH11"
"AASS","CEP164"
"AASS","CFAP54"
"AASS","CH17-264L24.1"
"AASS","CH17-472G23.4"
"AASS","CLCN6"
"AASS","CLIP4"
"AASS","CLK4"
"AASS","CMTR1"
"AASS","CNTNAP1"
"AASS","COL4A4"
"AASS","COL5A2"
"AASS","CREBZF"
"AASS","CRYBG3"
"AASS","CSGALNACT2"
"AASS","CSPG4P12"
"AASS","CTB-89H12.4"
"AASS","CTBP1-AS"
"AASS","CTC-425O23.5"
"AASS","CTD-2373N4.3"
"AASS","DAPK1"
"AASS","DCHS1"
"AASS","DDHD1"
"AASS","DDX17"
"AASS","DENND3"
"AASS","DENND4B"
"AASS","DMTF1"
"AASS","DUSP8P5"
"AASS","ELK3"
"AASS","EP400"
"AASS","ERN1"
"AASS","EZH1"
"AASS","FAM111A"
"AASS","FAM157C"
"AASS","FBN1"
"AASS","FGD2"
"AASS","FMNL2"
"AASS","FNBP4"
"AASS","FSTL1"
"AASS","GABBR1"
"AASS","GLCCI1"
"AASS","GOLGA8A"
"AASS","GOLGA8B"
"AASS","GOLGA8N"
"AASS","GPR155"
"AASS","GUCY1A3"
"AASS","HERC2P2"
"AASS","HERC2P9"
"AASS","HNRNPH1"
"AASS","HNRNPU-AS1"
"AASS","HOXB4"
"AASS","IKZF4"
"AASS","INPP4A"
"AASS","INTS3"
"AASS","IRAK3"
"AASS","ITGA1"
"AASS","ITGA4"
"AASS","KANSL1L"
"AASS","KCTD7"
"AASS","KIRREL"
"AASS","KLF7"
"AASS","LA16c-358B7.3"
"AASS","LA16c-390E6.4"
"AASS","LINC00506"
"AASS","LINC00954"
"AASS","LINC01001"
"AASS","LINC01002"
"AASS","LINC01355"
"AASS","LRRC8C"
"AASS","LRRK2"
"AASS","MACF1"
"AASS","MAN2A2"
"AASS","MAP3K3"
"AASS","MDM4"
"AASS","MLLT11"
"AASS","MSANTD2"
"AASS","MYO1F"
"AASS","NAIP"
"AASS","NBPF15"
"AASS","NBPF8"
"AASS","NCKAP5L"
"AASS","NID1"
"AASS","NISCH"
"AASS","NKTR"
"AASS","NPIPB4"
"AASS","NPTN-IT1"
"AASS","OGT"
"AASS","OSMR"
"AASS","PAPD7"
"AASS","PBX2"
"AASS","PFN1P2"
"AASS","PHC1"
"AASS","PIAS3"
"AASS","PKD1"
"AASS","PLCG1"
"AASS","PLEKHH2"
"AASS","PLEKHM1P"
"AASS","RAB11FIP1P1"
"AASS","RABL2A"
"AASS","RBM26"
"AASS","RBMS1"
"AASS","RGS5"
"AASS","RNF213"
"AASS","RNF24"
"AASS","RP11-206L10.2"
"AASS","RP11-273B20.1"
"AASS","RP11-274B21.2"
"AASS","RP11-295D4.3"
"AASS","RP11-314D7.2"
"AASS","RP11-415J8.3"
"AASS","RP11-449J21.3"
"AASS","RP11-488L18.4"
"AASS","RP11-894P9.1"
"AASS","RP11-96D1.8"
"AASS","RP3-368A4.5"
"AASS","RP3-368A4.6"
"AASS","RP4-669L17.10"
"AASS","RP4-742C19.13"
"AASS","RP5-1142A6.9"
"AASS","RUBCN"
"AASS","RUFY3"
"AASS","SFMBT2"
"AASS","SGK494"
"AASS","SH3BP5-AS1"
"AASS","SHANK3"
"AASS","SIN3B"
"AASS","SLC23A2"
"AASS","SLC25A37"
"AASS","SLFN11"
"AASS","SNED1"
"AASS","SRSF11"
"AASS","STARD8"
"AASS","STARD9"
"AASS","STAT2"
"AASS","STAT5B"
"AASS","STX16"
"AASS","STX2"
"AASS","TBC1D27"
"AASS","TBRG1"
"AASS","TIA1"
"AASS","TIAF1"
"AASS","TNRC6A"
"AASS","TRAF5"
"AASS","TRAM2"
"AASS","TRERF1"
"AASS","TRIM22"
"AASS","TRIM66"
"AASS","TSPYL2"
"AASS","TTC7B"
"AASS","VPS13C"
"AASS","WDFY2"
"AASS","WSB1"
"AASS","XAF1"
"AASS","ZBTB40"
"AASS","ZDBF2"
"AASS","ZDHHC17"
"AASS","ZDHHC8"
"AASS","ZEB1"
"AASS","ZMAT1"
"AASS","ZMIZ2"
"AASS","ZNF117"
"AASS","ZNF154"
"AASS","ZNF275"
"AASS","ZNF316"
"AASS","ZNF333"
"AASS","ZNF354B"
"AASS","ZNF449"
"AASS","ZNF512B"
"AASS","ZNF532"
"AASS","ZNF83"
"AASS","ZNF841"
"ABAT","ACVR1B"
"ABAT","ATP9A"
"ABAT","ENTPD5"
"ABAT","MAGI1"
"ABAT","NBR1"
"ABAT","NIPAL3"
"ABAT","SERINC5"
"ABAT","SLC22A23"
"ABAT","SLC36A1"
"ABAT","TSHZ1"
"ABCA1","KMT2A"
"ABCA1","ZKSCAN8"
"ABCA7","ACAP1"
"ABCA7","ARHGAP4"
"ABCA7","ARHGAP9"
